alim_grp_code;alim_ssgrp_code;alim_ssssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_ssssgrp_nom_eng;alim_code;alim_nom_eng;alim_nom_eng;Energy. Regulation EU No 1169/2011 (kcal/100g);Energy. N x Jones' factor. with fibres (kJ/100g);Energy. N x Jones' factor. with fibres (kcal/100g);Water (g/100g);Protein (g/100g);Protein. crude. N x 6.25 (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);Starch (g/100g);Fibres (g/100g);Polyols (g/100g);Ash (g/100g);Alcohol (g/100g);Organic acids (g/100g);FA saturated (g/100g);FA mono (g/100g);FA poly (g/100g);FA 4:0 (g/100g);FA 6:0 (g/100g);FA 8:0 (g/100g);FA 10:0 (g/100g);FA 12:0 (g/100g);FA 14:0 (g/100g);FA 16:0 (g/100g);FA 18:0 (g/100g);FA 18:1 n-9 cis (g/100g);FA 18:2 9c.12c (n-6) (g/100g);FA 18:3 c9.c12.c15 (n-3) (g/100g);FA 20:4 5c.8c.11c.14c (n-6) (g/100g);FA 20:5 5c.8c.11c.14c.17c (n-3) EPA (g/100g);FA 22:6 4c.7c.10c.13c.16c.19c (n-3) DHA (g/100g);Cholesterol (mg/100g);Salt (g/100g);Calcium (mg/100g);Chloride (mg/100g);Copper (mg/100g);Iron (mg/100g);Iodine (µg/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphorus (mg/100g);Potassium (mg/100g);Selenium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (µg/100g);Beta-carotene (µg/100g);Vitamin D (µg/100g);Vitamin E (mg/100g);Vitamin K1 (µg/100g);Vitamin K2 (µg/100g);Vitamin C (mg/100g);Vitamin B1 or Thiamin (mg/100g);Vitamin B2 or Riboflavin (mg/100g);Vitamin B3 or Niacin (mg/100g);Vitamin B5 or Pantothenic acid (mg/100g);Vitamin B6 (mg/100g);Vitamin B9 or Folate (µg/100g);Vitamin B12 (µg/100g)
1;101;0;starters and dishes;mixed salads;-;25600;Celeriac in remoulade sauce. prepacked;Celeriac in remoulade sauce. prepacked;-;-;-;78.5;1.12;1.12;4.19;12.8;2.38;1.3;2.87;0;1.59;0;-;1.08;7.73;3.67;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;0.013;0.66;0.22;4.64;1.69;1.03;-;-;< 0.01;0.1;1;28.6;616;0.069;0.29;2;12;0.11;35;315;< 10;395;0.22;< 2;< 8;< 0.5;3.4;-;-;25.2;< 0.04;< 0.04;0.38;0.28;0.19;28;< 0.08
1;101;0;starters and dishes;mixed salads;-;25601;Prepared mixed tuna and vegetable salad. canned. drained;Prepared mixed tuna and vegetable salad. canned. drained;-;-;-;76.5;9.15;9.15;7.74;4.7;3.08;4.1;2.7;0;1.79;0;-;0.56;1.83;1.76;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;0.008;0.38;0.12;-;1.15;0.056;-;0.008;0.039;19.2;1.11;20.7;731;0.1;1.1;2;25.1;0.1;88.4;232;-;445;0.6;< 2;-;< 0.5;1.6;-;-;2.75;< 0.04;0.053;4.45;< 0.16;0.29;31;1.45
1;101;0;starters and dishes;mixed salads;-;25602;Prepared mixed meat/fish canned. drained salad;Prepared mixed meat/fish canned. drained salad;-;-;-;76.7;8.06;8.06;6.4;5.3;1.9;3.3;2;0;1.5;0;-;0.16;3.27;1.54;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.12;0.04;2.24;1.08;0.28;0.016;0.016;0.15;15.2;0.95;22;584;0.07;0.7;< 20;20;0.1;92;220;30;381;0.38;< 21;781;0.44;2.04;9.75;-;-;0.032;0.022;4.13;0.2;0.12;11.1;1.23
1;101;0;starters and dishes;mixed salads;-;25605;Greek-style marinated mushrooms;Greek-style marinated mushrooms;-;-;-;84.6;2.08;2.08;3.95;3.55;2.38;0.28;2.35;0;1.64;0;-;0.23;1.74;1.43;-;-;-;-;-;-;-;-;-;-;0.026;-;-;-;0.11;1.26;22.6;-;0.17;0.58;1.91;13.8;0.13;52.2;292;1.79;500;0.39;0;747;0;1.47;-;-;10.3;0.062;0.2;1.88;0.76;0.11;27.3;0.018
1;101;0;starters and dishes;mixed salads;-;25606;Prepared potatoes salad. home-made;Prepared potatoes salad. home-made;-;-;-;76;2.68;2.68;9.9;8.2;-;-;1.3;0;1.95;0;-;1.43;2.48;3.74;-;-;-;0;0.011;0.013;1.03;0.37;-;-;-;-;-;-;68;1.33;19;-;0.12;0.65;-;15;0.1;52;254;-;529;0.31;29;36;0;-;-;-;10;0.077;0.06;0.89;0.53;0.14;7;0
1;101;0;starters and dishes;mixed salads;-;25608;Tabbouleh. prepacked;Tabbouleh. prepacked;-;-;-;66.4;4.29;4.29;22.2;5.65;3.82;13;2.27;0;1.23;0;-;0.6;3.3;1.27;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;0.005;0.38;0.11;-;1.03;0.23;< 0.0026;< 0.0026;< 0.0026;0.1;0.91;19.9;-;0.12;0.72;2;27.1;0.3;66.5;207;< 10;355;0.46;0;-;0;1.68;-;-;14.5;0.09;0.04;0.83;-;0.09;17;0
1;101;0;starters and dishes;mixed salads;-;25609;Potato salad. pi_montaise-style. prepacked;Potato salad. pi_montaise-style. prepacked;-;-;-;74.9;4.11;4.11;7.98;9.28;1.17;-;1.51;0;1.5;0;-;1.15;4.06;1.8;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.015;0.75;0.26;4.06;1.28;0.52;-;-;< 0.01;34.2;0.97;-;-;-;-;7.5;-;-;-;195;-;384;-;-;-;0.5;2.07;-;-;7.62;-;-;-;-;-;-;-
1;101;0;starters and dishes;mixed salads;-;25614;Prepared rice salad;Prepared rice salad;-;-;-;72.5;5.13;5.13;16.1;4.35;1;14.3;1.7;0;1.49;0;-;0.53;2.23;-;-;-;-;-;0.0042;0.0083;0.36;0.12;2.23;1.05;0.2;-;-;0.013;6.5;1.1;23.3;-;< 0.1;0.43;< 5;13.1;0.1;66.6;143;17.7;431;0.3;< 2;34;< 0.5;1.63;-;-;4.48;0.058;0.045;2.65;0.14;0.13;33.5;0.43
1;101;0;starters and dishes;mixed salads;-;25615;Prepared pasta salad. vegetarian;Prepared pasta salad. vegetarian;-;-;-;73.9;5.7;5.7;12.9;8.1;2.3;10;1.7;0;0.73;0;-;2.37;1.46;3.92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0.58;14;86;0.06;0.6;4;11;0.2;37;84;-;51;0.4;7;1180;0;1.95;-;-;21;0.04;0.02;0.4;0;0.09;16;0
1;101;0;starters and dishes;mixed salads;-;25616;Salad. vegetable. without dressing (average);Salad. vegetable. without dressing (average);22.3;93.4;22.3;93.7;1.03;1.03;2.5;0.53;2.01;0.25;1.51;;0.72;0;;0.095;0.2;0.13;0.00029;traces;0.000035;0.00011;0.0002;0.0011;0.083;0.008;0.21;0.092;0.019;;traces;traces;0.059;0.037;27.3;52.6;0.055;0.46;1.92;13.6;0.18;29.4;257;3.38;14.8;0.19;0.012;1770;0.074;0.47;45.3;;14.6;0.044;0.041;0.53;0.22;0.087;39.3;0
1;101;0;starters and dishes;mixed salads;-;25619;Prepared pasta salad. with vegetable. meat or fish;Prepared pasta salad. with vegetable. meat or fish;-;-;-;70.3;5.19;5.19;14;9.94;2.16;7.58;1.98;0;1.61;0;-;1.74;5.85;1.91;-;-;-;-;-;-;-;-;-;-;-;-;0.0023;0.0098;11;0.95;18.5;492;0.091;0.69;3.13;20;0.15;66.2;177;5.3;378;0.52;16;494;0.23;0.55;-;-;5.56;0.069;0.053;1.93;0.24;0.13;14.5;0.23
1;101;0;starters and dishes;mixed salads;-;25628;Caesar's salad (salad. chicken. cro_tons. sauce);Caesar's salad (salad. chicken. cro_tons. sauce);151;629;151;71.8;8.13;8.13;4.88;10;1.71;3.17;2;0;1.54;0;1.66;2.36;4.99;2.09;0.08;0.05;0.03;0.06;0.08;0.26;1.26;0.41;4.6;1.7;0.39;< 0.01;< 0.01;< 0.01;40.7;0.75;100;483;0.11;0.5;< 20;19;0.15;150;300;< 20;301;0.69;27.9;627;< 0.25;2.24;32;-;1.11;0.096;0.068;2.29;0.47;0.094;29.3;0.48
1;101;0;starters and dishes;mixed salads;-;26259;Coleslaw. w sauce. prepacked;Coleslaw. w sauce. prepacked;105;435;105;80.4;0.94;0.94;5.78;8.1;4.72;< 0.35;3;1.06;1.45;0;0.34;0.63;4.83;2.2;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.01;0.41;0.13;4.39;1.54;0.66;< 0.01;< 0.01;< 0.01;-;0.88;39;556;0.03;1.3;< 20;9.3;0.26;29;210;< 20;353;0.27;-;1340;< 0.25;2.21;23;-;21.6;0.026;< 0.01;< 0.1;0.21;0.093;14.6;-
1;101;0;starters and dishes;mixed salads;-;26269;Tabbouleh with chicken. prepacked;Tabbouleh with chicken. prepacked;-;-;-;62.6;6.4;6.4;20.6;7.45;2.48;16.6;2.02;0;1.59;0;-;0.86;3.78;1.75;< 0.01;< 0.01;< 0.01;< 0.01;0.02;0.02;0.57;0.15;3.78;1.33;0.42;< 0.01;< 0.01;< 0.01;8.24;1.05;18;661;0.1;0.8;< 20;24;0.32;100;190;< 20;424;0.65;< 21;135;< 0.25;1.48;3.22;-;< 0.5;0.14;0.045;1.16;0.4;0.096;96.5;0.1
1;102;0;starters and dishes;soup;-;25900;Soup. lentils. prepacked. to be reheated;Soup. lentils. prepacked. to be reheated;53.2;224;53.2;85.8;3.28;3.28;6.6;1.12;0.7;-;1.8;0;1.24;0;traces;0.45;0.52;0.13;-;-;-;0;0;0.02;0.27;0.16;-;-;-;-;-;-;3;0.36;25;-;0.17;1.07;4;19;0.24;74;144;16.1;143;0.61;0;430;-;0;-;-;1.7;0.07;0.045;0.55;0.14;0.09;20;0.12
