Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d’Azur,Guadeloupe,Saint-Barthélémy,Saint-Martin,Guyane,Martinique,Mayotte,La Réunion
2020/03/04,49,16,23,0,0,38,65,55,2,5,9,7,13,3,0,0,0,0,0,0
2020/03/05,64,39,29,2,3,77,74,76,6,8,11,8,18,3,0,0,5,0,0,0
2020/03/06,75,78,32,11,3,136,97,89,11,11,18,16,26,0,1,2,5,2,0,0
2020/03/07,102,129,40,16,5,250,173,104,11,17,36,18,38,0,1,2,5,2,0,0
2020/03/10,249,123,83,19,42,489,249,468,40,57,70,31,110,0,1,2,5,3,0,0
2020/03/11,264,155,94,20,51,578,263,492,54,66,87,34,111,0,1,2,5,3,0,1
2020/03/12,329,219,117,30,64,699,349,577,68,87,133,41,147,0,1,2,6,4,0,3
2020/03/13,416,272,155,33,85,911,397,721,97,114,172,55,212,1,1,2,6,6,0,5
2020/03/14,454,339,182,54,106,1085,466,949,127,130,214,82,281,3,1,2,7,10,1,6
2020/03/15,523,412,207,71,115,1378,507,1209,143,144,243,98,330,6,3,2,7,15,1,9
2020/03/16,618,507,233,90,126,1543,585,1762,156,178,262,108,405,18,3,2,11,16,1,9
2020/03/17,710,549,247,103,145,1820,612,2177,174,200,311,126,478,27,3,3,11,19,3,12
2020/03/18,858,593,273,128,152,2163,665,2693,208,237,371,128,574,33,3,4,11,23,3,14
2020/03/19,1014,696,297,157,162,2643,700,3384,241,280,444,160,693,45,3,4,15,32,6,19
2020/03/20,1101,770,346,219,168,3006,759,3818,287,432,537,190,826,51,3,4,15,32,7,38
2020/03/21,1266,903,359,254,173,3089,791,4695,345,521,611,234,1041,56,3,5,18,37,11,47
2020/03/22,1431,1178,397,291,183,3395,936,5283,462,612,671,270,1372,58,3,6,19,44,14,64
2020/03/23,1730,1347,490,361,194,4256,1269,6211,511,676,767,293,1510,62,3,8,20,53,24,71
2020/03/24,1857,1510,526,450,217,4922,1532,6798,586,789,900,343,1595,73,3,8,23,57,30,83
2020/03/25,2093,1569,603,561,225,5479,1753,7660,688,912,1082,368,1927,76,3,11,28,66,35,94
